"деятель,","дзеяч,","дзеяч, дэпутат"
"в странах","у краінах","у краінах англа-саксонскай"
"в странах","у краінах","спраў у краінах англа-саксонскай"
"в странах","у краінах","спраў у краінах"
"и","і","і тлумачыцца"
"и","і","практыцы і тлумачыцца ў"
"и","і","сусветнай практыцы і"
"и","і","практыцы і"
"и","і","сусветнай практыцы і тлумачыцца"
"и","і","практыцы і тлумачыцца"
"и","і","і звязаныя"
"и","і","сусветнай практыцы і тлумачыцца ў"
"и","і","і тлумачыцца ў"
"также нежеланием","таксама нежаданнем","таксама нежаданнем барыстараў"
"также нежеланием","таксама нежаданнем","таксама нежаданнем барыстараў страчваць"
"в основном","у асноўным","тлумачыцца ў асноўным"
"в основном","у асноўным","асноўным"
"в основном","у асноўным","ў асноўным"
"адвокатов не","адвакатаў не","адвакатаў не адпавядае"
"положение и","палажэнне і","палажэнне і звязаныя"
"скоростных бомбардировщиков","скорасных бамбардзіроўшчыкаў","бамбардзіроўшчыкаў"
"скоростных бомбардировщиков","скорасных бамбардзіроўшчыкаў","хуткасных бамбардзіроўшчыкаў"
"бомбардировщиков","бамбардзіроўшчыкаў","хуткасных бамбардзіроўшчыкаў"
"— KG;","— KG;","— KG; хуткасных"
"с анималистическими","з анімалістычнымі","з анімалістычнымі фрызамі."
"анималистическими","анімалістычнымі","анімалістычнымі фрызамі."
"слово","слова","слова мае"
"то","то","мае то"
"Канаде слово","Канадзе слова","Канадзе слова мае"
"корпус","корпус","2-гі корпус"
"корпус","корпус","корпус СПА;"
"корпус","корпус","2-гі корпус СПА;"
"район;","раён;","раён; 573-і"
"район;","раён;","ўмацаваны раён; 573-і"
"район;","раён;","29-ы ўмацаваны раён;"
"район;","раён;","29-ы ўмацаваны раён; 573-і"
"район;","раён;","ўмацаваны раён;"
"пушечный","пушачны","573-і пушачны"
"бригада;","брыгада;","брыгада; 21-ы"
"бригада;","брыгада;","брыгада; 21-ы ўмацаваны"
"отдельный","асобны","20-ы асобны"
"отдельный","асобны","47-ы асобны"
"мощности;","моцнасці;","моцнасці; 541-ы"
"укреплённый район","умацованы раён","ўмацаваны раён"
"укреплённый район","умацованы раён","раён"
"укреплённый район","умацованы раён","ўмацаваны раён (Карэльскі"
"укреплённый район","умацованы раён","21-ы ўмацаваны раён (Кінгісепскі"
"укреплённый район","умацованы раён","22-гі ўмацаваны раён (Карэльскі"
"укреплённый район","умацованы раён","22-гі ўмацаваны раён"
"укреплённый район","умацованы раён","раён (Кінгісепскі"
"укреплённый район","умацованы раён","21-ы ўмацаваны раён"
"укреплённый район","умацованы раён","раён (Карэльскі"
"укреплённый район","умацованы раён","ўмацаваны раён (Кінгісепскі"
"гаубичный","гаўбічны","577-ы гаўбічны"
"гаубичный","гаўбічны","519-ы гаўбічны"
"гаубичный","гаўбічны","541-ы гаўбічны"
"район","раён","ўмацаваны раён"
"район","раён","22-гі ўмацаваны раён (Карэльскі"
"район","раён","21-ы ўмацаваны раён"
"район","раён","ўмацаваны раён (Карэльскі"
"район","раён","раён (Карэльскі"
"район","раён","раён (Кінгісепскі"
"район","раён","21-ы ўмацаваны раён (Кінгісепскі"
"район","раён","22-гі ўмацаваны раён"
"район","раён","ўмацаваны раён (Кінгісепскі"
"полк;","полк;","полк; 519-ы"
"батальон;","батальён;","батальён; 47-ы"
"батальон;","батальён;","батальён; 2-гі"
"гаубичный артиллерийский","гаўбічны артылерыйскі","519-ы гаўбічны артылерыйскі"
"гаубичный артиллерийский","гаўбічны артылерыйскі","541-ы гаўбічны артылерыйскі"
"гаубичный артиллерийский","гаўбічны артылерыйскі","577-ы гаўбічны артылерыйскі"
"отдельный миномётный","асобны мінамётны","47-ы асобны мінамётны"
"отдельный миномётный","асобны мінамётны","20-ы асобны мінамётны"
"пушечный артиллерийский","пушачны артылерыйскі","573-і пушачны артылерыйскі"
"—","—","— Мі-8"
"—","—","— Мі-14)"
"и","і","Мі-8 і"
"и 8","і 8","Мі-8 і 8"
"8 —","8 —","8 — Мі-14)"
"на траве","на траве","на траве адказывае"
"своей деятельности","сваёй дзейнасці","межах сваёй дзейнасці"
"проведение следующих","баўленне наступных","правядзенне наступных"
"проведение следующих","баўленне наступных","наступных"
"рамках своей","рамках сваёй","сваёй"
"рамках своей","рамках сваёй","межах сваёй"
"В","У","У межах"
"траве","траве","траве адказывае"
"своей","сваёй","межах сваёй"
"следующих турниров","наступных турніраў","правядзенне наступных турніраў"
"за проведение","за баўленне","адказывае за правядзенне"
"за проведение","за баўленне","адказывае за"
"за проведение","за баўленне","за"
"за проведение","за баўленне","за правядзенне"
"за","за","адказывае за"
"за","за","за правядзенне"
"за","за","адказывае за правядзенне"
"В рамках","У рамках","У"
"В рамках","У рамках","У межах"
"следующих","наступных","правядзенне наступных"
"не","не","не з'яўляцца"
"не","не","не з'яўляцца вяленем."
"термин","тэрмін","выкарыстоўваюць тэрмін"
"и не","і не","і не з'яўляцца вяленем."
"и не","і не","і не з'яўляцца"
"Производители часто","Вытворнікі часта","Вытворнікі часта выкарыстоўваюць"
"часто","часта","часта выкарыстоўваюць"
"термин vellum лишь","тэрмін vellum толькі","выкарыстоўваюць тэрмін vellum толькі"
"линия","лінія","лінія размяшчаецца"
"высоты","вышыні","Пераважныя вышыні ледавіковай"
"высоты","вышыні","Пераважныя вышыні"
"высоты","вышыні","вышыні ледавіковай"
"Фирновая линия","Фірнавая лінія","Фірнавая лінія размяшчаецца"
"высоты ледниковой","вышыні ледніковай","вышыні ледавіковай"
"высоты ледниковой","вышыні ледніковай","Пераважныя вышыні ледавіковай"
"высоты ледниковой","вышыні ледніковай","вышыні"
"высоты ледниковой","вышыні ледніковай","Пераважныя вышыні"
"на","на","размяшчаецца на"
"поверхности —","паверхні —","ледавіковай паверхні —"
"поверхности","паверхні","ледавіковай паверхні"
"высоте","вышыні","Пераважныя вышыні ледавіковай"
"высоте","вышыні","Пераважныя вышыні"
"высоте","вышыні","вышыні ледавіковай"
"ледниковой поверхности","ледніковай паверхні","ледавіковай паверхні"
"ледниковой поверхности","ледніковай паверхні","паверхні"
"на высоте","на вышыні","размяшчаецца на вышыні"
"новой версии","новай версіі","запускам новай версіі"
"С","З","З запускам"
"новой","новай","запускам новай"
"36","36","Пхенчхан 36"
"36 17","36 17","Пхенчхан 36 17"
"2018","2018","2018 Пхенчхан"
"состав Белорусской","састаў Беларускай","склад Беларускай"
"состав Белорусской","састаў Беларускай","Беларускай"
"района","раёна","раёна Беластоцкай"
"района","раёна","Замбраўскага раёна Беластоцкай"
"района","раёна","Замбраўскага раёна"
"в","у","у склад"
"в состав","у састаў","у"
"в состав","у састаў","у склад"
"области.","вобласці.","Беластоцкай вобласці."
"стал центром","стаў цэнтрам","стаў цэнтрам Замбраўскага"
"центром","цэнтрам","цэнтрам Замбраўскага"
"Белорусской ССР","Беларускай ССР","склад Беларускай ССР"
"Белорусской","Беларускай","склад Беларускай"
"который","які","які сазываецца"
"один","адзін","сазываецца адзін"
"один раз","адзін раз","сазываецца адзін раз"
"аэродромы вместе","аэрадромы разам","атакавалі аэрадромы разам"
"109","109","109 атакавалі"
"аэродромы","аэрадромы","атакавалі аэрадромы"
"соответствующие","адпаведныя","f-арбіталі), адпаведныя"
"на","на","на пад"
"на","на","на пад узроўні"
"соответствующие изменениям","адпаведныя змяненням","f-арбіталі), адпаведныя змяненням"
"усиками и","вусікамі і","вусікамі і грудзямі,"
"исключением","выняткам","выняткам пярэдняспінкі"
"и","і","пярэдняспінкі і"
"и","і","і грудзямі,"
"за исключением","за выняткам","грудзямі, за выняткам пярэдняспінкі"
"за исключением","за выняткам","за выняткам пярэдняспінкі"
"за исключением","за выняткам","грудзямі, за выняткам"
"за","за","грудзямі, за"
"станционный","станцыйны","котка, станцыйны"
"—","—","— котка,"
"писательница","пісьменніца","пісьменніца Кіёхара"
"японского города","японскага горада","японскага горада Кінакава."
"станционный смотритель","станцыйны наглядчык","котка, станцыйны наглядчык"
"американская писательница","амерыканская пісьменніца","амерыканская пісьменніца Кіёхара"
"—","—","Плод —"
"Плод —","Плён —","Плод —"
"Плод —","Плён —","—"
"— крылатка","— крылатка","Плод — крылатка"
"у которых","ля якіх","атраду), у якіх"
"у которых","ля якіх","якіх"
"у которых","ля якіх","прадстаўнікі атраду), у якіх"
"у которых","ля якіх","у якіх"
"которых","якіх","прадстаўнікі атраду), у якіх"
"которых","якіх","у якіх"
"которых","якіх","атраду), у якіх"
"которых наблюдается","якіх назіраецца","у якіх назіраецца"
"которых наблюдается","якіх назіраецца","прадстаўнікі атраду), у якіх назіраецца"
"которых наблюдается","якіх назіраецца","атраду), у якіх назіраецца"
"как другие","як іншыя","як іншыя прадстаўнікі атраду), у"
"как другие","як іншыя","як іншыя прадстаўнікі"
"как другие","як іншыя","як іншыя прадстаўнікі атраду),"
"главным","галоўным","насяляюць, галоўным"
"главным","галоўным","якія насяляюць, галоўным"
"другие","іншыя","іншыя прадстаўнікі"
"другие","іншыя","іншыя прадстаўнікі атраду),"
"другие","іншыя","іншыя прадстаўнікі атраду), у"
"Гражданской войны","Цывільнай вайны","Грамадзянскай вайны"
"Гражданской войны","Цывільнай вайны","вайны"
"Участник","Удзельнік","Удзельнік Грамадзянскай"
"Участник Гражданской","Удзельнік Цывільнай","Удзельнік Грамадзянскай"
"Участник Гражданской","Удзельнік Цывільнай","Удзельнік"
"его","яго","змясціла яго"
"третьего","трэцяга","трэцяга рэйха"
"гестапо","гестапа","гестапа змясціла"
"его под","яго пад","змясціла яго пад"
"вынудили","вымусілі","рэйха вымусілі"
"и гестапо","і гестапа","і гестапа змясціла"
"вынудили его","вымусілі яго","рэйха вымусілі яго"
"власти третьего","улады трэцяга","улады трэцяга рэйха"
"тычинки","тычынкі","тычынкі размешчаны ў"
"тычинки","тычынкі","тычынкі размешчаны"
"трубке","трубцы","ў трубцы"
"трубке","трубцы","размешчаны ў трубцы"
"в трубке","у трубцы","трубцы"
"в трубке","у трубцы","размешчаны ў трубцы"
"в трубке","у трубцы","ў трубцы"
"развитые тычинки","развітыя тычынкі","развітыя тычынкі размешчаны"
"развитые тычинки","развітыя тычынкі","развітыя тычынкі размешчаны ў"
"лётной","лётнай","лётнай гімнасцёрке"
"проведённых в","праведзеных у","фальзе, праведзеных у"
"проведённых","праведзеных","фальзе, праведзеных"
"в золотой","у залатой","у залатой фальзе,"
"золотой","залатой","залатой фальзе,"
"соревнованиях","спаборніцтвах","спаборніцтвах удзельнічае"
"с 2011","з 2011","удзельнічае з 2011"
"с","з","удзельнічае з"
"международных соревнованиях","міжнародных спаборніцтвах","міжнародных спаборніцтвах удзельнічае"
"пером,","пяром,","пяром, хімічна"
"стойким","стойкім","хімічна стойкім"
"золотым","залатым","з залатым"
"авторучка","аўтаручка","аўтаручка з"
"- авторучка","- аўтаручка","- аўтаручка з"
"химически стойким","хімічныя стойкім","стойкім"
"химически стойким","хімічныя стойкім","хімічна стойкім"
"предшественником современной","папярэднікам сучаснай","папярэднікам сучаснай папкі-рэгістратарa"
"изобретение","вынаходства","папкі-рэгістратарa вынаходства"
"изобретение","вынаходства","вынаходства дзіракола"
"изобретение","вынаходства","папкі-рэгістратарa вынаходства дзіракола"
"современной","сучаснай","сучаснай папкі-рэгістратарa"
"стойким против","стойкім проціў","хімічна стойкім проціў"
"с золотым","са залатым","з залатым"
"с золотым","са залатым","залатым"
"армия  Части","армія Часці","армія Часці непасрэднага"
"армия  Части","армія Часці","армія Часці непасрэднага падпарадкавання"
"фронта,","фронту,","Склад фронту,"
"фронту","фронту","непасрэднага падпарадкавання фронту"
"фронту","фронту","падпарадкавання фронту"
"Части","Часці","Часці непасрэднага падпарадкавання"
"Части","Часці","Часці непасрэднага"
"фронта","фронту","непасрэднага падпарадкавання фронту"
"фронта","фронту","падпарадкавання фронту"
"— NJG;","— NJG;","— NJG; цяжкіх"
"истребителей","знішчальнікаў","цяжкіх знішчальнікаў"
"меньше площадка","менш пляцоўка","індорхакее менш пляцоўка"
"20 на","20 на","правіла 20 на"
"как","як","як правіла"
"в","у","у супрацьлеглых"
"что","што","што адпавядае"
"тогда как","тады як","брамнік), тады як"
"правило 20","правідла 20","правіла 20"
"правило 20","правідла 20","20"
"20","20","правіла 20"
"того в","таго ў","таго ў індорхакее"
"меньше","менш","індорхакее менш"
"игроков в","гульцоў у","гульцоў у супрацьлеглых"
"тогда","тады","брамнік), тады"
"— как","— як","— як правіла"
"командах","камандах","супрацьлеглых камандах"
"площадке для","пляцоўцы для","адпавядае пляцоўцы для"
"и 1","і 1","і 1 брамнік),"
"площадке","пляцоўцы","адпавядае пляцоўцы"
"1","1","1 брамнік),"
"командах —","камандах —","супрацьлеглых камандах —"
"как правило","як правідла","як правіла"
"как правило","як правідла","як"
"России","Расіі","Расіі забаронена."
"России запрещена","Расіі","Расіі забаронена."
"из-за","з-за","ўраўнаважаны з-за"
"из-за","з-за","(кольцы ўраўнаважаны з-за"
"построена на","на","пабудавана на"
"была","была","была пабудавана"
"Модель была","Мадэль была","Мадэль была пабудавана"
"на аналогии","на аналогіі","пабудавана на аналогіі"
"на","на","пабудавана на"
"из-за очень","з-за вельмі","ўраўнаважаны з-за вельмі"
"из-за очень","з-за вельмі","(кольцы ўраўнаважаны з-за вельмі"
"была построена","была","была пабудавана"
"собой оценку","сабой адзнаку","уяўляе сабой адзнаку"
"собой","сабой","уяўляе сабой"
"Индекс","Індэкс","Індэкс уяўляе"
"которых","якіх","якіх прымаюць"
"банка и","банка і","банку і"
"банка и","банка і","Сусветнага банку і"
"банка и","банка і","і"
"эксперты,","эксперты,","праваабарончыя эксперты,"
"и","і","банку і"
"и","і","і праваабарончыя"
"и","і","Сусветнага банку і"
"на","на","грунтуецца на"
"в которых","у якіх","у якіх прымаюць"
"финансовые и","фінансавыя і","фінансавыя і праваабарончыя"
"на нескольких","на некалькіх","грунтуецца на некалькіх"
"участие","удзел","прымаюць удзел"
"Индекс","Індэкс","Індэкс грунтуецца"
"и американской","і амерыканскай","Сусветнага банку і амерыканскай"
"и американской","і амерыканскай","банку і амерыканскай"
"участие международные","удзел міжнародныя","прымаюць удзел міжнародныя"
"программу","праграму","ў праграму"
"программу","праграму","уключаны ў праграму"
"программу Игр","праграму Гульняў","ў праграму Гульняў"
"программу Игр","праграму Гульняў","уключаны ў праграму Гульняў"
"был","быў","быў уключаны ў"
"был","быў","быў уключаны"
"в программу","у праграму","праграму"
"в программу","у праграму","ў праграму"
"в программу","у праграму","уключаны ў праграму"
"траве был","траве быў","траве быў уключаны"
"траве был","траве быў","траве быў уключаны ў"
"приняло участие","прыняло ўдзел","ўзяла ўдзел"
"приняло участие","прыняло ўдзел","ўдзел"
"приняло участие","прыняло ўдзел","ўзяла ўдзел велізарная"
"приняло участие","прыняло ўдзел","ўдзел велізарная"
"количество её","колькасць яе","велізарная колькасць яе"
"ноября","лістапада","лістапада ўзяла"
"количество","колькасць","велізарная колькасць"
"30 ноября","30 лістапада","30 лістапада ўзяла"
"ноября приняло","лістапада прыняло","лістапада ўзяла"
"ноября приняло","лістапада прыняло","лістапада"
"призы","прызы","прызы У.Кірыенка"
"и","і","У.Кірыенка і"
"и","і","У.Кірыенка і А.Багалій-Цітавец"
"и","і","і А.Багалій-Цітавец"
"юношеских соревнованиях","юнацкіх спаборніцтвах","ў юнацкіх спаборніцтвах"
"юношеских соревнованиях","юнацкіх спаборніцтвах","перамагала ў юнацкіх спаборніцтвах"
"на призы","на прызы","на прызы У.Кірыенка"
"в юношеских","у юнацкіх","перамагала ў юнацкіх"
"в юношеских","у юнацкіх","юнацкіх"
"в юношеских","у юнацкіх","ў юнацкіх"
"Неоднократно","Неаднаразова","Неаднаразова перамагала"
"Неоднократно","Неаднаразова","Неаднаразова перамагала ў"
"юношеских","юнацкіх","перамагала ў юнацкіх"
"юношеских","юнацкіх","ў юнацкіх"
"глубину","глыбіню","глыбіню маюць"
"крутые","крутыя","атачаюць крутыя"
"Озёра","Азёры","Азёры атачаюць"
"сами","самі","маюць самі"
"крутые лесистые","крутыя лясістыя","атачаюць крутыя лясістыя"
"же глубину","ж глыбіню","ж глыбіню маюць"
"—","—","года —"
"— командир","— камандзір","года — камандзір"
"дивизии в","дывізіі ў","дывізіі ў Кракаве."
"ноября 1905","лістапада 1905","лістапада 1905 года"
"1905 —","1905 —","1905 года —"
"1905","1905","1905 года"
"домов","дамоў","насупраць дамоў"
"бульвар","бульвар","бульвар насупраць"
"не","не","не аднаўляць -"
"не","не","не аднаўляць"
"не","не","вырашылі не аднаўляць"
"не","не","вырашылі не аднаўляць -"
"не","не","вырашылі не"
"напротив домов","напроціў дамоў","насупраць дамоў"
"напротив домов","напроціў дамоў","дамоў"
"домов с","дамоў з","насупраць дамоў з"
"бульвар напротив","бульвар напроціў","бульвар насупраць"
"бульвар напротив","бульвар напроціў","бульвар"
"его","яго","яго вырашылі"
"на этом","на гэтым","- на гэтым"
"на этом","на гэтым","аднаўляць - на гэтым"
"на","на","аднаўляць - на"
"на","на","- на"
"Минска его","Мінска яго","Мінска яго вырашылі"
"— на","— на","на"
"— на","— на","- на"
"— на","— на","аднаўляць - на"
"сегодня бульвар","сёння бульвар","сёння бульвар насупраць"
"нового компонента","новага кампанента","новага кампанента УС"
"содержание складов","змест складоў","утрыманне складоў"
"содержание складов","змест складоў","складоў"
"складов центрального","складоў цэнтральнага","утрыманне складоў цэнтральнага"
"территории,","тэрыторыі,","тэрыторыі, утрыманне"
"следующие:","наступныя:","УС наступныя:"
"компонента","кампанента","кампанента УС"
"складов","складоў","утрыманне складоў"
"компонента ВС","кампанента ВС","кампанента УС"
"компонента ВС","кампанента ВС","кампанента"
"выпуклостями,","выпукласцямі,","выпукласцямі, якія"
"выпуклостями,","выпукласцямі,","выпукласцямі, якія нагадваюць"
"по форме","па форме","якія нагадваюць па форме"
"по форме","па форме","нагадваюць па форме"
"по","па","нагадваюць па"
"по","па","якія нагадваюць па"
"элементы","элементы","выкарыстаны элементы"
"двух","двух","двух перакрыжаваных"
"клюшек","клюшак","перакрыжаваных клюшак"
"элементы национального","элементы нацыянальнага","выкарыстаны элементы нацыянальнага"
"В логотипе","У лагатыпе","У лагатыпе выкарыстаны"
"логотипе","лагатыпе","лагатыпе выкарыстаны"
"двух скрещенных","двух скрыжованых","двух перакрыжаваных"
"двух скрещенных","двух скрыжованых","двух"
"клюшек и","клюшак і","перакрыжаваных клюшак і"
"скрещенных клюшек","скрыжованых клюшак","перакрыжаваных клюшак"
"скрещенных клюшек","скрыжованых клюшак","клюшак"
"изображения двух","выявы двух","выявы двух перакрыжаваных"
"Вид распространён","Від","Від распаўсюджаны ў Міжземнамор'і,"
"Вид распространён","Від","Від распаўсюджаны ў"
"Вид распространён","Від","Від распаўсюджаны"
"в","у","Міжземнамор'і, у"
"в","у","ў Міжземнамор'і, у"
"в","у","распаўсюджаны ў Міжземнамор'і, у"
"Вид","Від","Від распаўсюджаны ў Міжземнамор'і,"
"Вид","Від","Від распаўсюджаны ў"
"Вид","Від","Від распаўсюджаны"
"юга","поўдня","Ірана, поўдня"
"Турции,","Турцыі,","Турцыі, Ірана,"
"распространён в","у","Міжземнамор'і, у"
"распространён в","у","ў Міжземнамор'і, у"
"распространён в","у","распаўсюджаны ў Міжземнамор'і, у"
"в Северной","у Паўночнай","ў Міжземнамор'і, у Паўночнай"
"в Северной","у Паўночнай","распаўсюджаны ў Міжземнамор'і, у Паўночнай"
"в Северной","у Паўночнай","Міжземнамор'і, у Паўночнай"
"юга России","поўдня Расіі","Ірана, поўдня Расіі"
"— президент","— прэзідэнт","Герман Парцынгер — прэзідэнт"
"— президент","— прэзідэнт","Парцынгер — прэзідэнт"
"—","—","Парцынгер —"
"—","—","Герман Парцынгер —"
"истории","гісторыі","гісторыі готаў"
"и","і","готаў і"
"Исследователь истории","Даследчык гісторыі","Даследчык гісторыі готаў"
"древних германцев","старажытных германцаў","старажытных германцаў Герман Парцынгер"
"древних германцев","старажытных германцаў","старажытных германцаў Герман"
"и древних","і старажытных","готаў і старажытных"
"готов и","гатовы і","готаў і"
"готов и","гатовы і","і"
"германцев","германцаў","германцаў Герман Парцынгер"
"германцев","германцаў","германцаў Герман"
"истории готов","гісторыі гатовы","гісторыі готаў"
"истории готов","гісторыі гатовы","гісторыі"
"—","—","— індор-хакей."
"траве —","траве —","траве — індор-хакей."
"а","а","імпульс, а"
"один","адзін","адзін імпульс,"
"один","адзін","надаецца адзін"
"один","адзін","надаецца адзін імпульс,"
"а половине","а палове","імпульс, а палове"
"половине атомов","палове атамаў","палове атамаў надаецца"
"атомов","атамаў","атамаў надаецца"
"таким","такім","такім чынам,"
"таким","такім","такім чынам, спрыяе"
"с","з","з падвышанай"
"концентрацией","канцэнтрацыяй","падвышанай канцэнтрацыяй"
"более","больш","спрыяе больш"
"более","больш","чынам, спрыяе больш"
"более активному","больш актыўнаму","чынам, спрыяе больш актыўнаму"
"более активному","больш актыўнаму","спрыяе больш актыўнаму"
"с повышенной","з павышанае","з падвышанай"
"с повышенной","з павышанае","з"
"механизм","механізм","механізм забяспечвае"
"повышенной концентрацией","павышанае канцэнтрацыяй","канцэнтрацыяй"
"повышенной концентрацией","павышанае канцэнтрацыяй","падвышанай канцэнтрацыяй"
"Этот механизм","Гэты механізм","Гэты механізм забяспечвае"
"концентрацией кислорода","канцэнтрацыяй кіслароду","падвышанай канцэнтрацыяй кіслароду"
"крови с","крыві з","крыві з падвышанай"
"минимальное смешивание","мінімальнае змешванне","забяспечвае мінімальнае змешванне"
"минимальное","мінімальнае","забяспечвае мінімальнае"
"промежуточные,","прамежкавыя,","звышхуткія, прамежкавыя,"
"взял на","узяў на","на"
"взял на","узяў на","ўзяў на"
"взял на","узяў на","Джэмаль-паша ўзяў на"
"для операций","для аперацый","басмачэй для аперацый"
"для операций","для аперацый","для аперацый супраць"
"для операций","для аперацый","басмачэй для аперацый супраць"
"операций против","аперацый проціў","аперацый супраць"
"операций против","аперацый проціў","аперацый"
"отрядов","атрадаў","атрадаў басмачэй"
"англичан,","англічан,","супраць англічан,"
"на","на","ўзяў на"
"на","на","Джэмаль-паша ўзяў на"
"басмачей для","басмачоў для","для"
"басмачей для","басмачоў для","басмачэй для"
"отрядов басмачей","атрадаў басмачоў","атрадаў басмачэй"
"отрядов басмачей","атрадаў басмачоў","атрадаў"
"на себя","на сябе","ўзяў на сябе"
"на себя","на сябе","Джэмаль-паша ўзяў на сябе"
"операций","аперацый","аперацый супраць"
"для","для","басмачэй для"
"рукопись в","рукапіс у","Аблічбаваны рукапіс у"
"рукопись","рукапіс","Аблічбаваны рукапіс"
"время","час","акрэслены час"
"на определённое","на акрэсленае","на акрэслены"
"на определённое","на акрэсленае","на"
"на","на","на акрэслены"
"и на","і на","і на акрэслены"
"определённое время","акрэсленае час","акрэслены час"
"определённое время","акрэсленае час","час"
"от","ад","адхіляюцца ад"
"от прямолинейного","ад прамалінейнага","адхіляюцца ад прамалінейнага"
"магнитного полей","магнітных палёў","магнітных палёў адхіляюцца"
"полей","палёў","палёў адхіляюцца"
"Генеральной","Генеральнай","Генеральнай інспекцыі"
"в Генеральной","у Генеральнай","у Генеральнай інспекцыі"
"Начала","Пачаткі","Пачаткі займацца"
"спортом","спортам","займацца спортам"
"спортом в","спортам у","займацца спортам у"
"штурмовой","штурмавой","штурмавой авіядывізіі"
"гвардейской штурмовой","гвардзейскай штурмавой","гвардзейскай штурмавой авіядывізіі"
"1945 года","1945 года","лютага 1945 года"
"1945 года","1945 года","Да лютага 1945 года"
"1945","1945","лютага 1945"
"1945","1945","Да лютага 1945"
"февралю 1945","лютаму 1945","1945"
"февралю 1945","лютаму 1945","Да лютага 1945"
"февралю 1945","лютаму 1945","лютага 1945"
"нарушение целости","парушэнне цэласці","парушэнне цэласці дзявочай"
"целости","цэласці","цэласці дзявочай"
"целости девственной","цэласці дзявоцкай","цэласці"
"целости девственной","цэласці дзявоцкай","цэласці дзявочай"
"на траве","на траве","на траве (ФІХ)."
"Международная","Міжнародная","ўтворана Міжнародная"
"была","была","была ўтворана"
"траве","траве","траве (ФІХ)."
") была","была","была ўтворана"
"Международная федерация","Міжнародная федэрацыя","ўтворана Міжнародная федэрацыя"
"каждой","кожнай","У кожнай"
"каждой деревни","кожнай вёскі","У кожнай вёскі"
"У каждой","Ля кожнай","У кожнай"
"У каждой","Ля кожнай","кожнай"
"следующие","наступныя","выдадзены наступныя"
"следующие его","наступныя яго","выдадзены наступныя яго"
"того,","таго,","таго, выдадзены"
"швейцарском городе","швейцарскім горадзе","швейцарскім горадзе Лазана."
"городе","горадзе","горадзе Лазана."
"в британской","у брытанскай","Брэдшоў у брытанскай"
"в британской","у брытанскай","Пітэр Брэдшоў у брытанскай"
"Кинокритик","Кінакрытык","Кінакрытык Пітэр Брэдшоў"
"Кинокритик","Кінакрытык","Кінакрытык Пітэр"
"в","у","Брэдшоў у"
"в","у","Пітэр Брэдшоў у"
"клещей из","кляшчоў з","кляшчоў з надатраду"
"из","з","з надатраду"
"расщепление этих","расшчапленне гэтых","расшчапленне гэтых падузроўней"
"на","на","падузроўней на"
"на отдельные","на асобныя","падузроўней на асобныя"
"этих","гэтых","гэтых падузроўней"
"Отечественной","Айчыннай","Вялікай Айчыннай"
"с","з","Саюза з"
"Союза с","Саюзу з","з"
"Союза с","Саюзу з","Саюза з"
"высокого","высокага","удастоены высокага"
"Советского","Савецкага","Савецкага Саюза"
"подполковник","падпалкоўнік","падпалкоўнік Леанід Гарагляд"
"подполковник","падпалкоўнік","падпалкоўнік Леанід"
"доблесть,","доблесць,","доблесць, праяўленыя"
"доблесть,","доблесць,","доблесць, праяўленыя ў"
"годы","гады","гады Вялікай"
"годы","гады","праяўленыя ў гады Вялікай"
"годы","гады","праяўленыя ў гады"
"годы","гады","ў гады Вялікай"
"годы","гады","ў гады"
"года","гады","гады Вялікай"
"года","гады","праяўленыя ў гады Вялікай"
"года","гады","праяўленыя ў гады"
"года","гады","ў гады Вялікай"
"года","гады","ў гады"
"высокого звания","высокага звання","удастоены высокага звання"
"в годы","у гады","праяўленыя ў гады"
"в годы","у гады","гады"
"в годы","у гады","праяўленыя ў гады Вялікай"
"в годы","у гады","ў гады Вялікай"
"в годы","у гады","ў гады"
"в годы","у гады","гады Вялікай"
"Советского Союза","Савецкага Саюзу","Савецкага Саюза"
"Советского Союза","Савецкага Саюзу","Савецкага"
"с вручением","з уручэннем","Саюза з уручэннем"
"был","быў","Гарагляд быў"
"был","быў","Леанід Гарагляд быў удастоены"
"был","быў","Леанід Гарагляд быў"
"был","быў","Гарагляд быў удастоены"
"был","быў","быў удастоены"
"гвардии подполковник","гвардыі падпалкоўнік","гвардыі падпалкоўнік Леанід Гарагляд"
"гвардии подполковник","гвардыі падпалкоўнік","гвардыі падпалкоўнік Леанід"
"Героя Советского","Героя Савецкага","Героя Савецкага Саюза"
"рыболовным","рыбалоўным","рыбалоўным інспектарам"
"рыболовным","рыбалоўным","рыбалоўным інспектарам Эрнстам"
"в","у","Беербамам у"
"Вильгельмом","Вільгельмам","Вільгельмам Беербамам"
"Вильгельмом","Вільгельмам","Эрнстам Вільгельмам"
"Вильгельмом","Вільгельмам","інспектарам Эрнстам Вільгельмам Беербамам"
"Вильгельмом","Вільгельмам","інспектарам Эрнстам Вільгельмам"
"Вильгельмом","Вільгельмам","Эрнстам Вільгельмам Беербамам"
